0, 0
2, 8
13, 18
29, 34
91, 51
105, 131
125, 249
136, 554
149, 972
156, 1378
167, 2046
177, 2710
185, 3458
197, 3924
211, 4665
227, 6619
241, 7082
260, 7719
281, 8018
295, 8331
309, 8622
330, 9007
351, 9343
367, 9602
384, 9862
403, 10322
436, 10666
472, 10672
513, 10672
555, 10672
633, 10675
750, 10678
