0, 0, 0
2, 8, 6
13, 18, 7
29, 34, 11
91, 51, 34
105, 131, 84
125, 249, 129
136, 554, 294
149, 972, 576
156, 1378, 694
167, 2046, 1224
177, 2710, 1459
185, 3458, 1830
197 , 3924, 2210
211, 4665, 2705
227, 6619, 2766
241, 7082, 2963
260, 7719, 3177
281, 8018, 3423
295, 8331, 3538
309, 8622, 3686
330, 9007, 3900
351, 9343, 4162
367, 9602, 4301
384, 9862, 4408
403, 10322, 4608
436, 10666, 4806
472, 10672, 4807
513, 10672, 4808
555, 10672, 4808
633, 10675, 4809
750, 10678, 4810
